Variable Year Study Average Intercept Slope
Grain_Yield 2004 1 5610 -3437.651 4.23
Grain_Yield 2004 2 3896 -3437.651 4.23
Grain_Yield 2004 3 5387 -3437.651 4.23
Grain_Yield 2005 1 5818 -3437.651 4.23
Grain_Yield 2005 2 3331 -3437.651 4.23
Grain_Yield 2005 3 6690 -3437.651 4.23
Grain_Yield 2006 1 6065 -3437.651 4.23
Grain_Yield 2006 2 4373 -3437.651 4.23
Grain_Yield 2006 3 5447 -3437.651 4.23
Grain_Yield 2007 1 5691 -3437.651 4.23
Grain_Yield 2007 2 3440 -3437.651 4.23
Grain_Yield 2007 3 8284 -3437.651 4.23
Grain_Yield 2008 1 3953 -3437.651 4.23
Grain_Yield 2008 2 4581 -3437.651 4.23
Grain_Yield 2008 3 3526 -3437.651 4.23
Grain_Yield 2009 1 5566 -3437.651 4.23
Grain_Yield 2009 2 4874 -3437.651 4.23
Grain_Yield 2009 3 5384 -3437.651 4.23
Grain_Yield 2010 1 5056 -3437.651 4.23
Grain_Yield 2010 2 3059 -3437.651 4.23
Grain_Yield 2010 3 6452 -3437.651 4.23
Grain_Yield 2011 1 6065 -3437.651 4.23
Grain_Yield 2011 2 3815 -3437.651 4.23
Grain_Yield 2012 1 3969 -3437.651 4.23
Grain_Yield 2012 2 5468 -3437.651 4.23
Grain_Yield 2012 3 4179 -3437.651 4.23
Grain_Yield 2013 1 4498 -3437.651 4.23
Grain_Yield 2013 2 3465 -3437.651 4.23
Grain_Yield 2013 3 5411 -3437.651 4.23
Grain_Yield 2014 1 6060 -3437.651 4.23
Grain_Yield 2014 2 4584 -3437.651 4.23
Grain_Yield 2014 3 5566 -3437.651 4.23
Grain_Yield 2015 1 6052 -3437.651 4.23
Grain_Yield 2015 2 2806 -3437.651 4.23
Grain_Yield 2015 3 5985 -3437.651 4.23
Grain_Yield 2016 1 5946 -3437.651 4.23
Grain_Yield 2016 3 5715 -3437.651 4.23
Grain_Yield 2017 1 5658 -3437.651 4.23
Grain_Yield 2017 2 5012 -3437.651 4.23
Grain_Yield 2017 3 6072 -3437.651 4.23
Heritability 2004 1 70.31 6153.612 -3.034
Heritability 2004 2 80.19 6153.612 -3.034
Heritability 2004 3 75.66 6153.612 -3.034
Heritability 2005 1 55.23 6153.612 -3.034
Heritability 2005 2 79.13 6153.612 -3.034
Heritability 2005 3 72.87 6153.612 -3.034
Heritability 2006 1 81.65 6153.612 -3.034
Heritability 2006 2 76.38 6153.612 -3.034
Heritability 2006 3 70.26 6153.612 -3.034
Heritability 2007 1 69.96 6153.612 -3.034
Heritability 2007 2 67.11 6153.612 -3.034
Heritability 2007 3 72.61 6153.612 -3.034
Heritability 2008 1 16.47 6153.612 -3.034
Heritability 2008 2 46.19 6153.612 -3.034
Heritability 2008 3 45.16 6153.612 -3.034
Heritability 2009 1 10.14 6153.612 -3.034
Heritability 2009 2 41.54 6153.612 -3.034
Heritability 2010 1 57.68 6153.612 -3.034
Heritability 2010 2 51.68 6153.612 -3.034
Heritability 2010 3 51.18 6153.612 -3.034
Heritability 2011 1 52.96 6153.612 -3.034
Heritability 2011 2 18.87 6153.612 -3.034
Heritability 2012 1 68.64 6153.612 -3.034
Heritability 2012 2 64.31 6153.612 -3.034
