Estudo Ano CV
1 -6.23 21.36
1 -4.23 13.39
1 -3.23 20.12
1 -2.23 19.54
1 0.77 14.29
2 -6.23 10.41
2 -5.23 24.77
2 -4.23 12.6
2 -3.23 17.92
2 -2.23 19.34
2 -1.23 18.11
2 -0.23 16.28
2 0.77 9.63
2 3.77 21.66
2 4.77 16.37
2 5.77 13.86
2 6.77 15.65
3 -4.23 15.94
3 -3.23 17.94
3 -2.23 17.94
3 -1.23 16.54
3 1.77 12.71
3 2.77 24.71
3 4.77 18.02
3 6.77 14.94
4 -6.23 8.72
4 -4.23 10.78
4 -3.23 14.93
4 -2.23 18.52
4 -1.23 14.27
4 -0.23 11.88
4 1.77 16.51
4 3.77 10.65
4 4.77 12.49
4 5.77 14.38
4 6.77 10.55
5 -6.23 14.2
5 -5.23 11.1
5 -4.23 16.05
5 -3.23 10.08
5 -1.23 18.16
5 -0.23 15.41
5 1.77 14.05
5 2.77 15.84
5 3.77 14.77
5 4.77 14.3
5 5.77 18.04
5 6.77 17.41
