Estudo Ano h²
1 -5.04 75.08
1 -4.04 65
1 -3.04 39.19
1 -2.04 63.38
1 -1.04 59.99
1 -0.04 48.7
1 0.96 18.87
1 2.96 53.15
2 -6.04 58.43
2 -5.04 55.23
2 -4.04 80.69
2 0.96 52.96
2 3.96 73.61
2 4.96 28.43
2 5.96 52.86
2 6.96 11.74
3 -6.04 80.19
3 -5.04 89.43
3 -4.04 87.76
3 -3.04 92.19
3 -2.04 58.73
3 -1.04 54.49
3 -0.04 48.65
3 1.96 64.31
3 2.96 64.41
3 3.96 31.47
3 4.96 49.11
3 6.96 38.34
4 -6.04 82.19
4 -4.04 82.61
4 -3.04 69.96
4 -2.04 16.47
4 -1.04 10.14
4 -0.04 57.68
4 1.96 68.64
4 2.96 86.48
4 4.96 19.96
4 5.96 54.68
4 6.96 65.57
5 -6.04 75.66
5 -5.04 72.87
5 -4.04 70.26
5 -3.04 72.61
5 -2.04 45.16
5 -0.04 51.18
5 1.96 52.66
5 3.96 40.91
5 4.96 16.05
5 6.96 34.01
