Estudo Ano med
1 2.966101695 3.082
1 -5.033898305 3.258
1 -0.033898305 3.295
1 0.966101695 3.815
1 -4.033898305 4.082
1 -6.033898305 4.137
1 -3.033898305 4.398
1 -2.033898305 4.81
1 -1.033898305 4.856
2 -2.033898305 3.883
2 -4.033898305 4.192
2 -5.033898305 4.604
2 3.966101695 4.692
2 6.966101695 4.824
2 -3.033898305 5.005
2 -6.033898305 5.09
2 -0.033898305 5.18
2 -1.033898305 5.208
2 4.966101695 5.258
2 5.966101695 5.503
2 0.966101695 6.065
2 2.966101695 6.333
3 -3.033898305 2.482
3 4.966101695 2.806
3 -0.033898305 2.824
3 -5.033898305 3.404
3 -6.033898305 3.656
3 2.966101695 3.848
3 -2.033898305 4.353
3 3.966101695 4.584
3 -4.033898305 4.665
3 -1.033898305 4.892
3 6.966101695 5.012
3 1.966101695 5.468
4 2.966101695 2.664
4 1.966101695 3.969
4 -2.033898305 4.024
4 -0.033898305 4.932
4 -1.033898305 5.925
4 -6.033898305 6.13
4 -3.033898305 6.378
4 5.966101695 6.39
4 6.966101695 6.492
4 4.966101695 6.847
4 -5.033898305 7.033
4 3.966101695 7.428
4 -4.033898305 7.939
5 1.966101695 4.179
5 -1.033898305 5.384
5 -6.033898305 5.387
5 2.966101695 5.411
5 -4.033898305 5.447
5 3.966101695 5.566
5 5.966101695 5.715
5 4.966101695 5.985
5 6.966101695 6.072
5 -0.033898305 6.452
5 -5.033898305 6.69
5 -3.033898305 8.284
